# Sample Camera Trajectory Data
# Format: FRAME_ID, RIG_ID, QW, QX, QY, QZ, TX, TY, TZ
# This is a sample circular trajectory with 100 frames

20, 0, 0.992535, 0.000000, 0.124617, 0.000000, 0.951057, 0.000000, 0.701450
21, 0, 0.991780, 0.000000, 0.130717, 0.000000, 0.968583, 0.000000, 0.763378
22, 0, 0.990991, 0.000000, 0.136797, 0.000000, 0.982287, 0.000000, 0.826361
23, 0, 0.990167, 0.000000, 0.142856, 0.000000, 0.992115, 0.000000, 0.890129
24, 0, 0.989310, 0.000000, 0.148892, 0.000000, 0.998027, 0.000000, 0.954405
25, 0, 0.988419, 0.000000, 0.154905, 0.000000, 1.000000, 0.000000, 1.018907
26, 0, 0.987495, 0.000000, 0.160893, 0.000000, 0.998027, 0.000000, 1.083346
27, 0, 0.986538, 0.000000, 0.166855, 0.000000, 0.992115, 0.000000, 1.147429
28, 0, 0.985548, 0.000000, 0.172790, 0.000000, 0.982287, 0.000000, 1.210860
29, 0, 0.984526, 0.000000, 0.178696, 0.000000, 0.968583, 0.000000, 1.273341
30, 0, 0.983471, 0.000000, 0.184573, 0.000000, 0.951057, 0.000000, 1.334568
31, 0, 0.982386, 0.000000, 0.190419, 0.000000, 0.929776, 0.000000, 1.394237
32, 0, 0.981269, 0.000000, 0.196234, 0.000000, 0.904827, 0.000000, 1.452042
33, 0, 0.980122, 0.000000, 0.202015, 0.000000, 0.876307, 0.000000, 1.507678
34, 0, 0.978944, 0.000000, 0.207762, 0.000000, 0.844328, 0.000000, 1.560841
35, 0, 0.977737, 0.000000, 0.213473, 0.000000, 0.809017, 0.000000, 1.611226
36, 0, 0.976500, 0.000000, 0.219148, 0.000000, 0.770513, 0.000000, 1.658529
37, 0, 0.975234, 0.000000, 0.224785, 0.000000, 0.728969, 0.000000, 1.702447
38, 0, 0.973939, 0.000000, 0.230383, 0.000000, 0.684547, 0.000000, 1.742681
39, 0, 0.972617, 0.000000, 0.235940, 0.000000, 0.637424, 0.000000, 1.778934
40, 0, 0.971267, 0.000000, 0.241457, 0.000000, 0.587785, 0.000000, 1.810912
41, 0, 0.969890, 0.000000, 0.246930, 0.000000, 0.535827, 0.000000, 1.838325
42, 0, 0.968486, 0.000000, 0.252360, 0.000000, 0.481754, 0.000000, 1.860889
43, 0, 0.967057, 0.000000, 0.257745, 0.000000, 0.425779, 0.000000, 1.878326
44, 0, 0.965603, 0.000000, 0.263084, 0.000000, 0.368125, 0.000000, 1.890364
45, 0, 0.964123, 0.000000, 0.268375, 0.000000, 0.309017, 0.000000, 1.896742
46, 0, 0.962619, 0.000000, 0.273617, 0.000000, 0.248690, 0.000000, 1.897204
47, 0, 0.961091, 0.000000, 0.278809, 0.000000, 0.187381, 0.000000, 1.891509
48, 0, 0.959541, 0.000000, 0.283949, 0.000000, 0.125333, 0.000000, 1.879422
49, 0, 0.957967, 0.000000, 0.289037, 0.000000, 0.062791, 0.000000, 1.860721
50, 0, 0.956372, 0.000000, 0.294071, 0.000000, 0.000000, 0.000000, 1.835193
51, 0, 0.954755, 0.000000, 0.299049, 0.000000, -0.062791, 0.000000, 1.802640
52, 0, 0.953117, 0.000000, 0.303971, 0.000000, -0.125333, 0.000000, 1.762874
53, 0, 0.951459, 0.000000, 0.308835, 0.000000, -0.187381, 0.000000, 1.715723
54, 0, 0.949781, 0.000000, 0.313639, 0.000000, -0.248690, 0.000000, 1.661024
55, 0, 0.948084, 0.000000, 0.318384, 0.000000, -0.309017, 0.000000, 1.598631
56, 0, 0.946368, 0.000000, 0.323066, 0.000000, -0.368125, 0.000000, 1.528410
57, 0, 0.944633, 0.000000, 0.327685, 0.000000, -0.425779, 0.000000, 1.450243
58, 0, 0.942881, 0.000000, 0.332240, 0.000000, -0.481754, 0.000000, 1.364030
59, 0, 0.941112, 0.000000, 0.336730, 0.000000, -0.535827, 0.000000, 1.269686
60, 0, 0.939326, 0.000000, 0.341153, 0.000000, -0.587785, 0.000000, 1.167145
61, 0, 0.937524, 0.000000, 0.345509, 0.000000, -0.637424, 0.000000, 1.056357
62, 0, 0.935707, 0.000000, 0.349795, 0.000000, -0.684547, 0.000000, 0.937291
63, 0, 0.933875, 0.000000, 0.354011, 0.000000, -0.728969, 0.000000, 0.809933
64, 0, 0.932028, 0.000000, 0.358156, 0.000000, -0.770513, 0.000000, 0.674287
65, 0, 0.930168, 0.000000, 0.362229, 0.000000, -0.809017, 0.000000, 0.530374
66, 0, 0.928294, 0.000000, 0.366229, 0.000000, -0.844328, 0.000000, 0.378234
67, 0, 0.926407, 0.000000, 0.370154, 0.000000, -0.876307, 0.000000, 0.217925
68, 0, 0.924507, 0.000000, 0.374004, 0.000000, -0.904827, 0.000000, 0.049521
69, 0, 0.922596, 0.000000, 0.377778, 0.000000, -0.929776, 0.000000, -0.126851
70, 0, 0.920673, 0.000000, 0.381475, 0.000000, -0.951057, 0.000000, -0.310969
71, 0, 0.918739, 0.000000, 0.385094, 0.000000, -0.968583, 0.000000, -0.502620
72, 0, 0.916794, 0.000000, 0.388634, 0.000000, -0.982287, 0.000000, -0.701607
73, 0, 0.914839, 0.000000, 0.392094, 0.000000, -0.992115, 0.000000, -0.907717
74, 0, 0.912873, 0.000000, 0.395474, 0.000000, -0.998027, 0.000000, -1.120721
75, 0, 0.910898, 0.000000, 0.398771, 0.000000, -1.000000, 0.000000, -1.340379
76, 0, 0.908915, 0.000000, 0.401985, 0.000000, -0.998027, 0.000000, -1.566437
77, 0, 0.906922, 0.000000, 0.405116, 0.000000, -0.992115, 0.000000, -1.798630
78, 0, 0.904922, 0.000000, 0.408162, 0.000000, -0.982287, 0.000000, -2.036684
79, 0, 0.902913, 0.000000, 0.411122, 0.000000, -0.968583, 0.000000, -2.280313
80, 0, 0.900897, 0.000000, 0.413996, 0.000000, -0.951057, 0.000000, -2.529225
81, 0, 0.898874, 0.000000, 0.416782, 0.000000, -0.929776, 0.000000, -2.783119
82, 0, 0.896844, 0.000000, 0.419480, 0.000000, -0.904827, 0.000000, -3.041686
83, 0, 0.894808, 0.000000, 0.422089, 0.000000, -0.876307, 0.000000, -3.304609
84, 0, 0.892767, 0.000000, 0.424607, 0.000000, -0.844328, 0.000000, -3.571564
85, 0, 0.890721, 0.000000, 0.427036, 0.000000, -0.809017, 0.000000, -3.842224
86, 0, 0.888669, 0.000000, 0.429372, 0.000000, -0.770513, 0.000000, -4.116257
87, 0, 0.886614, 0.000000, 0.431616, 0.000000, -0.728969, 0.000000, -4.393328
88, 0, 0.884554, 0.000000, 0.433766, 0.000000, -0.684547, 0.000000, -4.673100
89, 0, 0.882491, 0.000000, 0.435822, 0.000000, -0.637424, 0.000000, -4.955233
90, 0, 0.880425, 0.000000, 0.437784, 0.000000, -0.587785, 0.000000, -5.239386
91, 0, 0.878356, 0.000000, 0.439650, 0.000000, -0.535827, 0.000000, -5.525218
92, 0, 0.876284, 0.000000, 0.441421, 0.000000, -0.481754, 0.000000, -5.812385
93, 0, 0.874211, 0.000000, 0.443095, 0.000000, -0.425779, 0.000000, -6.100543
94, 0, 0.872136, 0.000000, 0.444672, 0.000000, -0.368125, 0.000000, -6.389347
95, 0, 0.870060, 0.000000, 0.446152, 0.000000, -0.309017, 0.000000, -6.678453
96, 0, 0.867984, 0.000000, 0.447534, 0.000000, -0.248690, 0.000000, -6.967516
97, 0, 0.865907, 0.000000, 0.448818, 0.000000, -0.187381, 0.000000, -7.256193
98, 0, 0.863830, 0.000000, 0.450003, 0.000000, -0.125333, 0.000000, -7.544140
99, 0, 0.861753, 0.000000, 0.451090, 0.000000, -0.062791, 0.000000, -7.831016
